experiment,algorithm,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph,iter,alg_duration,cge_duration
9,HOPE,0.5,0.0279252016293021,0.029288686528988486,0.026561716729615714,8,200,0,diameter,github.edgelist,1721612162,00:13:08.224963,00:00:09.686235
9,HOPE,0.5,0.02717666766855948,0.027865827353341859,0.026487507983777105,16,200,0,diameter,github.edgelist,1721612162,00:13:01.406172,00:00:09.478876
9,HOPE,0.5,0.026669562722976058,0.026870407510536452,0.026468717935415664,32,200,0,diameter,github.edgelist,1721612162,00:13:21.516878,00:00:10.191020
9,HOPE,0.5,0.026700402815422651,0.026936621993852886,0.026464183636992416,64,200,0,diameter,github.edgelist,1721612162,00:13:43.203837,00:00:10.534141
9,HOPE,0.5,0.026225059307115675,0.025984148053452144,0.026465970560779206,128,200,0,diameter,github.edgelist,1721612162,00:14:13.670914,00:00:12.201281
9,HOPE,0.25,0.027797494364263934,0.028822221041261007,0.026772767687266861,4,200,0,diameter,github.edgelist,1721612163,00:12:46.654709,00:00:08.240642
9,HOPE,0.5,0.0279252016293021,0.029288686528988486,0.026561716729615714,8,200,0,diameter,github.edgelist,1721612163,00:12:59.663684,00:00:09.347562
9,HOPE,0.5,0.02717666766855948,0.027865827353341859,0.026487507983777105,16,200,0,diameter,github.edgelist,1721612163,00:13:01.763242,00:00:09.599217
9,HOPE,0.5,0.026669562722976058,0.026870407510536452,0.026468717935415664,32,200,0,diameter,github.edgelist,1721612163,00:13:17.183373,00:00:09.573285
9,HOPE,0.5,0.026700402815422651,0.026936621993852886,0.026464183636992416,64,200,0,diameter,github.edgelist,1721612163,00:13:38.436802,00:00:11.075419
9,HOPE,0.5,0.026225059307115675,0.025984148053452144,0.026465970560779206,128,200,0,diameter,github.edgelist,1721612163,00:14:05.736724,00:00:12.869924
9,LINE,2.0,0.021708511682841682,0.029819389459058328,0.013597633906625039,4,200,0,diameter,github.edgelist,172161262,00:02:51.770161,00:00:08.965064
9,LINE,3.75,0.017646466307958786,0.022959768376840269,0.012333164239077305,8,200,0,diameter,github.edgelist,172161262,00:03:04.292567,00:00:08.503729
9,LINE,6.25,0.015982215324745155,0.017104679367489391,0.014859751282000922,16,200,0,diameter,github.edgelist,172161262,00:03:05.611549,00:00:07.657460
9,LINE,6.75,0.014703049779243643,0.015374607321333318,0.014031492237153968,32,200,0,diameter,github.edgelist,172161262,00:03:13.881226,00:00:08.266020
9,LINE,5.75,0.013624080790595551,0.016234551148931738,0.011013610432259366,64,200,0,diameter,github.edgelist,172161262,00:04:05.094510,00:00:09.143675
9,LINE,5.0,0.010840958853135307,0.011914817585870811,0.009767100120399802,128,200,0,diameter,github.edgelist,172161262,00:06:12.482267,00:00:11.512008
9,LINE,2.0,0.021708511682841682,0.029819389459058328,0.013597633906625039,4,200,0,diameter,github.edgelist,1721612243,00:02:42.039082,00:00:07.525524
9,LINE,3.75,0.017646466307958786,0.022959768376840269,0.012333164239077305,8,200,0,diameter,github.edgelist,1721612243,00:02:51.693167,00:00:09.541815
9,LINE,6.25,0.015982215324745155,0.017104679367489391,0.014859751282000922,16,200,0,diameter,github.edgelist,1721612243,00:03:07.044411,00:00:08.797697
9,LINE,6.75,0.014703049779243643,0.015374607321333318,0.014031492237153968,32,200,0,diameter,github.edgelist,1721612243,00:03:19.972229,00:00:08.245765
9,LINE,5.75,0.013624080790595551,0.016234551148931738,0.011013610432259366,64,200,0,diameter,github.edgelist,1721612243,00:04:16.204504,00:00:08.842185
9,LINE,5.0,0.010840958853135307,0.011914817585870811,0.009767100120399802,128,200,0,diameter,github.edgelist,1721612243,00:06:50.783496,00:00:11.098701
9,SDNE,2.25,0.0275719213901809,0.029689023694652827,0.025454819085708975,4,200,0,diameter,github.edgelist,1721612162,00:01:51.184457,00:00:07.278277
9,SDNE,1.25,0.026821528686818696,0.027815885712958618,0.025827171660678775,8,200,0,diameter,github.edgelist,1721612162,00:01:52.182404,00:00:08.118199
9,SDNE,1.0,0.026225539910167621,0.02622895614565323,0.026222123674682015,16,200,0,diameter,github.edgelist,1721612162,00:01:57.999218,00:00:08.616565
9,SDNE,0.5,0.02624143811219504,0.026066024046769776,0.026416852177620305,32,200,0,diameter,github.edgelist,1721612162,00:02:00.727704,00:00:08.137803
