algorithm,seed,dim,best_div_score,runtime
SDNE,0,128,0.0047921034196089,265.482921
SDNE,0,128,0.0038735700985462,286.945335
VERSE,0,4,0.0037777770033363,950.778067
VERSE,0,4,0.0037753741974777,929.619902
VERSE,0,8,1.966795218393146e-05,639.757912
VERSE,0,8,7.900512395646471e-05,633.756589
VERSE,0,16,3.701476922059508e-05,690.648481
VERSE,0,16,4.587171917999045e-05,689.123213
VERSE,0,32,7.396051264361932e-05,946.417964
VERSE,0,32,4.268187874574157e-05,1006.23278
VERSE,0,64,2.9666688513463016e-05,1711.19058
VERSE,0,64,3.428578041896895e-05,1679.974051
VERSE,0,128,0.0002907897898811,2668.050592
VERSE,0,128,0.0002492967005314,2601.047792
N2V,0,4,0.003613513776406,627.577379
N2V,0,4,0.0035754329970484,671.604375
N2V,0,8,9.968323391021352e-05,627.001473
N2V,0,8,8.930196916126122e-05,696.355048
N2V,0,16,0.0001896258727347,634.430935
N2V,0,16,0.0001672004509889,665.222755
N2V,0,32,0.0001629332987979,642.446313
N2V,0,32,0.0002062733097749,694.323758
N2V,0,64,0.0001226572479282,740.893959
N2V,0,64,0.0001328528448806,657.978206
N2V,0,128,0.0001122511305198,777.170291
N2V,0,128,0.0001161053960287,724.995988
HOPE,0,4,0.005430183239185,1041.790361
HOPE,0,4,0.005430183239185,1004.809528
HOPE,0,8,0.0027085181594179,1038.985
HOPE,0,8,0.0027085181594179,1017.35931
HOPE,0,16,0.0023722274887099,1033.645704
HOPE,0,16,0.0023722274887099,1002.392401
HOPE,0,32,0.0031155030175394,1134.544779
HOPE,0,32,0.0031155030175394,1103.701279
HOPE,0,64,0.0029298550199347,1171.356435
HOPE,0,64,0.0029298550199347,1136.169118
HOPE,0,128,0.0025570146450785,1276.319876
HOPE,0,128,0.0025570146450785,1342.771716
DeepWalk,0,4,0.0043078754978581,717.223399
DeepWalk,0,4,0.0042215135865091,718.861414
DeepWalk,0,8,0.0013258039820228,929.224366
DeepWalk,0,8,0.0012839414250653,646.142472
DeepWalk,0,16,0.001609247383403,1090.809415
DeepWalk,0,16,0.0015505543319021,1089.9967
DeepWalk,0,32,0.0011654803684958,1375.870019
DeepWalk,0,32,0.0009815449689655,1380.295106
DeepWalk,0,64,0.0007878909895169,1622.15074
DeepWalk,0,64,0.0008186578264925,1616.819365
DeepWalk,0,128,0.0004817737425982,2622.977556
DeepWalk,0,128,0.0005018103061728,2651.356193
LINE,0,4,0.0056708921538822,189.702168
LINE,0,4,0.0056708921538822,187.50975
LINE,0,8,0.0033952631861176,198.984574
LINE,0,8,0.0033952631861176,200.064574
LINE,0,16,0.0007042532754673,214.070196
LINE,0,16,0.0007042532754673,212.498434
LINE,0,32,0.0026442814338016,241.361183
LINE,0,32,0.0026442814338016,242.289627
LINE,0,64,0.0008287970547593,302.965109
LINE,0,64,0.0008287970547593,304.626991
LINE,0,128,0.0006226291357473,455.964874
LINE,0,128,0.0006226291357473,462.024545
SDNE,0,4,0.0039445261074318,264.196523
SDNE,0,4,0.0040506373487686,226.808633
SDNE,0,8,0.0040851863138581,230.484227
SDNE,0,8,0.003447695305642,257.951371
SDNE,0,16,0.0039577044020316,249.551621
SDNE,0,16,0.0030308062997527,255.654744
