experiment,algorithm,beta,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph_seed,iter,alg_duration,cge_duration
3,deepWalk,1.6,1.75,0.01039806735894048,0.01234835069047353,0.00844778402740743,128,200,0,diameter,exp3_network_seed59_param1_6.dat,1607665438,00:07:16.310220,00:00:10.800958
3,deepWalk,1.1,1.75,0.0036506906870675555,0.0048846101625426366,0.0024167712115924739,128,200,0,diameter,exp3_network_seed5_param1_1.dat,1607665438,00:07:14.893148,00:00:10.780038
3,deepWalk,1.7,1.5,0.0094116606254058717,0.0091662984355161646,0.0096570228152955788,128,200,0,diameter,exp3_network_seed60_param1_7.dat,1607665438,00:07:17.942913,00:00:10.754579
3,deepWalk,1.7,1.5,0.0097071349488524368,0.0082877309804509254,0.011126538917253946,128,200,0,diameter,exp3_network_seed61_param1_7.dat,1607665438,00:07:18.298906,00:00:10.621137
3,deepWalk,1.7,1.75,0.010593234176604759,0.010678274240808378,0.010508194112401137,128,200,0,diameter,exp3_network_seed62_param1_7.dat,1607665438,00:07:18.330048,00:00:10.727389
3,deepWalk,1.7,1.5,0.0102612040316797,0.0088136538631295273,0.011708754200229873,128,200,0,diameter,exp3_network_seed63_param1_7.dat,1607665438,00:07:15.940020,00:00:10.968261
3,deepWalk,1.7,1.75,0.010586689589215513,0.008876222416443931,0.012297156761987097,128,200,0,diameter,exp3_network_seed64_param1_7.dat,1607665438,00:07:20.807134,00:00:10.805859
3,deepWalk,1.7,1.5,0.011268103781607015,0.010152512247266668,0.012383695315947362,128,200,0,diameter,exp3_network_seed65_param1_7.dat,1607665438,00:07:18.703836,00:00:10.850488
3,deepWalk,1.7,1.5,0.010363659780351038,0.0099761185807325913,0.010751200979969485,128,200,0,diameter,exp3_network_seed66_param1_7.dat,1607665438,00:07:15.408460,00:00:10.763921
3,deepWalk,1.7,1.75,0.013042888951474783,0.013122351973768034,0.012963425929181531,128,200,0,diameter,exp3_network_seed67_param1_7.dat,1607665438,00:07:16.503593,00:00:10.757294
3,deepWalk,1.7,1.5,0.011912600440456136,0.01174112493828257,0.0120840759426297,128,200,0,diameter,exp3_network_seed68_param1_7.dat,1607665438,00:07:18.309758,00:00:10.793773
3,deepWalk,1.7,1.75,0.0096509693309851236,0.0093030312607403354,0.0099989074012299135,128,200,0,diameter,exp3_network_seed69_param1_7.dat,1607665438,00:07:13.110667,00:00:10.699992
3,deepWalk,1.1,1.75,0.0050193737608291572,0.00532177308240072,0.0047169744392575944,128,200,0,diameter,exp3_network_seed6_param1_1.dat,1607665438,00:07:19.660138,00:00:10.983079
3,deepWalk,1.8,1.75,0.011048709991944169,0.010751883986549228,0.011345535997339111,128,200,0,diameter,exp3_network_seed70_param1_8.dat,1607665438,00:07:15.320186,00:00:10.649186
3,deepWalk,1.8,1.5,0.012134631089462481,0.012149217927560386,0.012120044251364575,128,200,0,diameter,exp3_network_seed71_param1_8.dat,1607665438,00:07:14.246166,00:00:10.751512
3,deepWalk,1.8,1.5,0.011317283519743673,0.011036263011089674,0.011598304028397672,128,200,0,diameter,exp3_network_seed72_param1_8.dat,1607665438,00:07:17.155836,00:00:10.869758
3,deepWalk,1.8,1.5,0.0090408259808482817,0.00881579530130223,0.0092658566603943341,128,200,0,diameter,exp3_network_seed73_param1_8.dat,1607665438,00:07:16.839972,00:00:10.696856
3,deepWalk,1.8,1.5,0.012499998249583309,0.010817273963291052,0.014182722535875566,128,200,0,diameter,exp3_network_seed74_param1_8.dat,1607665438,00:07:19.109748,00:00:10.671280
3,deepWalk,1.8,1.25,0.012371702849253662,0.0080169853156018041,0.016726420382905522,128,200,0,diameter,exp3_network_seed75_param1_8.dat,1607665438,00:07:15.625672,00:00:10.497894
3,deepWalk,1.8,1.5,0.010437153695168028,0.0085350393852091661,0.012339268005126892,128,200,0,diameter,exp3_network_seed76_param1_8.dat,1607665438,00:07:18.654430,00:00:10.695144
3,deepWalk,1.8,1.75,0.010354828546383938,0.011804480709425996,0.0089051763833418781,128,200,0,diameter,exp3_network_seed77_param1_8.dat,1607665438,00:07:18.885036,00:00:10.872299
3,deepWalk,1.8,1.5,0.011243956701216397,0.0092101655224519022,0.01327774787998089,128,200,0,diameter,exp3_network_seed78_param1_8.dat,1607665847,00:08:01.252928,00:00:11.140775
3,deepWalk,1.8,1.5,0.011059374893252531,0.0082155858595807773,0.013903163926924287,128,200,0,diameter,exp3_network_seed79_param1_8.dat,1607665847,00:07:37.960589,00:00:10.558681
3,deepWalk,1.1,2,0.0060090324451644661,0.0069392836735826567,0.0050787812167462755,128,200,0,diameter,exp3_network_seed7_param1_1.dat,1607665847,00:07:24.909948,00:00:10.659685
3,deepWalk,1.9,1.5,0.012129459975938429,0.010017369381330261,0.014241550570546598,128,200,0,diameter,exp3_network_seed80_param1_9.dat,1607665847,00:07:19.987304,00:00:09.926773
3,deepWalk,1.9,1.75,0.01251216596970626,0.011474284153522391,0.01355004778589013,128,200,0,diameter,exp3_network_seed81_param1_9.dat,1607665847,00:06:56.791434,00:00:09.922373
3,deepWalk,1.9,1.5,0.010806292442154477,0.0067865380900350861,0.014826046794273866,128,200,0,diameter,exp3_network_seed82_param1_9.dat,1607665847,00:06:53.569280,00:00:09.991322
3,deepWalk,1.9,1.75,0.0090981140492124614,0.0068439833041936448,0.011352244794231279,128,200,0,diameter,exp3_network_seed83_param1_9.dat,1607665847,00:06:58.409300,00:00:09.973488
3,deepWalk,1.9,1.75,0.011745599052694559,0.011096395377854116,0.012394802727535001,128,200,0,diameter,exp3_network_seed84_param1_9.dat,1607665847,00:06:54.181559,00:00:09.804299
3,deepWalk,1.9,1.5,0.013532191173587296,0.010143328554258344,0.016921053792916248,128,200,0,diameter,exp3_network_seed85_param1_9.dat,1607665847,00:06:50.427029,00:00:09.720947
3,deepWalk,1.9,1.5,0.00852822767784231,0.00618846102732995,0.010867994328354667,128,200,0,diameter,exp3_network_seed86_param1_9.dat,1607665847,00:07:37.629243,00:00:10.627983
3,deepWalk,1.9,1.5,0.013445074699725579,0.011782732277510557,0.015107417121940601,128,200,0,diameter,exp3_network_seed87_param1_9.dat,1607665847,00:07:09.541233,00:00:10.008689
3,deepWalk,1.9,1.5,0.010845448738737393,0.0067782819667452435,0.014912615510729543,128,200,0,diameter,exp3_network_seed88_param1_9.dat,1607665847,00:07:00.625517,00:00:10.023308
3,deepWalk,1.9,1.5,0.011804533449218307,0.0086239125197362879,0.014985154378700329,128,200,0,diameter,exp3_network_seed89_param1_9.dat,1607665847,00:06:58.731964,00:00:09.852259
3,deepWalk,1.1,1.75,0.0042394599549576634,0.0047888481312188128,0.0036900717786965136,128,200,0,diameter,exp3_network_seed8_param1_1.dat,1607665847,00:06:54.937505,00:00:10.261953
3,deepWalk,2,1.5,0.01386382603469497,0.011068709539847191,0.016658942529542749,128,200,0,diameter,exp3_network_seed90_param2_0.dat,1607665847,00:06:57.600415,00:00:09.994543
3,deepWalk,2,1.75,0.00951975018041221,0.00845920981166981,0.010580290549154612,128,200,0,diameter,exp3_network_seed91_param2_0.dat,1607665847,00:08:34.169474,00:00:12.327033
3,deepWalk,2,1.5,0.012801333514937435,0.010041569314337799,0.015561097715537072,128,200,0,diameter,exp3_network_seed92_param2_0.dat,1607665847,00:08:32.392709,00:00:12.243556
3,deepWalk,2,1.5,0.0095367489310265383,0.0074389286244831579,0.011634569237569918,128,200,0,diameter,exp3_network_seed93_param2_0.dat,1607665847,00:08:29.917946,00:00:12.056776
3,deepWalk,2,1.5,0.014677924336153935,0.014218458352676811,0.015137390319631058,128,200,0,diameter,exp3_network_seed94_param2_0.dat,1607665847,00:08:13.692785,00:00:11.417043
3,deepWalk,2,1.75,0.011681443506666982,0.013353121354414559,0.010009765658919407,128,200,0,diameter,exp3_network_seed95_param2_0.dat,1607665847,00:07:59.989114,00:00:11.633655
3,deepWalk,2,1.5,0.014619576756975986,0.011153870755382791,0.018085282758569181,128,200,0,diameter,exp3_network_seed96_param2_0.dat,1607665847,00:07:40.766693,00:00:10.604631
3,deepWalk,2,1.75,0.010958927077605467,0.0093161651794179609,0.012601688975792974,128,200,0,diameter,exp3_network_seed97_param2_0.dat,1607665847,00:07:23.546299,00:00:10.755981
3,deepWalk,2,1.5,0.012329536736551721,0.012958581455882901,0.011700492017220543,128,200,0,diameter,exp3_network_seed98_param2_0.dat,1607665847,00:07:29.067284,00:00:10.761601
3,deepWalk,2,1.25,0.012144862025875476,0.0071265905285391278,0.017163133523211825,128,200,0,diameter,exp3_network_seed99_param2_0.dat,1607665847,00:07:29.388726,00:00:10.610579
3,deepWalk,1.1,2,0.0046892919362689139,0.0052011180781443246,0.0041774657943935032,128,200,0,diameter,exp3_network_seed9_param1_1.dat,1607665847,00:07:17.188387,00:00:10.612715
3,deepWalk,1.1,1.5,0.0057783845023467381,0.0063103973273984891,0.005246371677294988,128,200,0,diameter,exp3_network_seed0_param1_1.dat,1607666212,00:07:46.607252,00:00:11.697087
3,deepWalk,1.2,2,0.0054824702052579492,0.0073900161946270707,0.0035749242158888274,128,200,0,diameter,exp3_network_seed10_param1_2.dat,1607666212,00:07:40.484390,00:00:11.923705
3,deepWalk,1.2,1.75,0.0069531912998266748,0.0068071219696061828,0.0070992606300471668,128,200,0,diameter,exp3_network_seed11_param1_2.dat,1607666212,00:07:43.582986,00:00:11.591129
3,deepWalk,1.2,1.75,0.0042206390510009031,0.004849945188679163,0.0035913329133226424,128,200,0,diameter,exp3_network_seed12_param1_2.dat,1607666212,00:07:44.201588,00:00:11.914706
3,deepWalk,1.2,1.75,0.0073469355195853623,0.0067731077092350756,0.007920763329935649,128,200,0,diameter,exp3_network_seed13_param1_2.dat,1607666212,00:07:44.216952,00:00:11.720085
3,deepWalk,1.2,1.75,0.0073118348919032124,0.0075282976615203747,0.00709537212228605,128,200,0,diameter,exp3_network_seed14_param1_2.dat,1607666212,00:07:43.250958,00:00:11.396466
3,deepWalk,1.2,1.75,0.0060993445805504806,0.0062661641871846023,0.0059325249739163579,128,200,0,diameter,exp3_network_seed15_param1_2.dat,1607666212,00:07:42.636821,00:00:11.738022
3,deepWalk,1.2,1.5,0.0067977158478020206,0.0076818010349654,0.0059136306606386406,128,200,0,diameter,exp3_network_seed16_param1_2.dat,1607666212,00:07:42.424275,00:00:11.695825
