experiment,algorithm,gamma,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph_seed,iter,alg_duration,cge_duration
4,deepWalk,2.5,3.5,0.00035401419817622385,0.00020759412208205195,0.0005004342742703958,128,200,0,diameter,exp4_network_seed46_param2_5.dat,1721612126,00:03:43.475364,00:00:12.586036
4,deepWalk,2.5,3.75,0.00034798013145723053,0.00023918160823931307,0.00045677865467514794,128,200,0,diameter,exp4_network_seed47_param2_5.dat,1721612126,00:03:45.860174,00:00:12.367251
4,deepWalk,2.5,4,0.0003425355793416262,0.00019454278551906876,0.00049052837316418364,128,200,0,diameter,exp4_network_seed48_param2_5.dat,1721612126,00:03:45.276315,00:00:12.361352
4,deepWalk,2.5,3.25,0.00036534694677956177,0.00025426442038475227,0.00047642947317437121,128,200,0,diameter,exp4_network_seed49_param2_5.dat,1721612126,00:03:46.686933,00:00:12.078802
4,deepWalk,2.1,3.75,0.00059566667433313372,0.00029293265972542661,0.00089840068894084094,128,200,0,diameter,exp4_network_seed4_param2_1.dat,1721612126,00:04:01.139697,00:00:12.441941
4,deepWalk,2.6,4,0.00032874390940196795,0.00017461906129964352,0.00048286875750429232,128,200,0,diameter,exp4_network_seed50_param2_6.dat,1721612126,00:03:49.976199,00:00:12.327263
4,deepWalk,2.6,3.5,0.00041992249905429722,0.00022561739630358257,0.00061422760180501182,128,200,0,diameter,exp4_network_seed51_param2_6.dat,1721612126,00:03:46.889712,00:00:13.353896
4,deepWalk,2.6,3.75,0.00037142455940302257,0.0002240084840827725,0.00051884063472327265,128,200,0,diameter,exp4_network_seed52_param2_6.dat,1721612126,00:03:43.572007,00:00:12.413703
4,deepWalk,2.6,2.75,0.0003501278943943491,0.00022037293067160004,0.00047988285811709816,128,200,0,diameter,exp4_network_seed53_param2_6.dat,1721612126,00:03:42.773474,00:00:12.416862
4,deepWalk,2.6,3.5,0.00028183320499913615,0.00021094668165273095,0.00035271972834554136,128,200,0,diameter,exp4_network_seed54_param2_6.dat,1721612126,00:03:45.370949,00:00:11.684300
4,deepWalk,2.4,3.5,0.00040235996988825242,0.00026949922032438252,0.00053522071945212232,128,200,0,diameter,exp4_network_seed32_param2_4.dat,1721612189,00:03:32.750548,00:00:11.285245
4,deepWalk,2.4,3.5,0.00041201853000911504,0.00025915007269569895,0.00056488698732253114,128,200,0,diameter,exp4_network_seed33_param2_4.dat,1721612189,00:03:33.016956,00:00:11.459376
4,deepWalk,2.4,3.5,0.00036529505913126425,0.00023369879794802424,0.00049689132031450426,128,200,0,diameter,exp4_network_seed34_param2_4.dat,1721612189,00:03:34.677856,00:00:11.693053
4,deepWalk,2.4,3.25,0.00031643296257722123,0.00015099993232392062,0.00048186599283052178,128,200,0,diameter,exp4_network_seed35_param2_4.dat,1721612189,00:03:33.632597,00:00:11.462484
4,deepWalk,2.4,3.75,0.00037426246024088624,0.00023748669589297527,0.00051103822458879722,128,200,0,diameter,exp4_network_seed36_param2_4.dat,1721612189,00:03:33.836550,00:00:12.485471
4,deepWalk,2.4,3.5,0.00032684478517282657,0.00020525886855527164,0.00044843070179038149,128,200,0,diameter,exp4_network_seed37_param2_4.dat,1721612189,00:03:32.737202,00:00:12.942083
4,deepWalk,2.4,3,0.00048812665697272581,0.00035363847332480641,0.00062261484062064521,128,200,0,diameter,exp4_network_seed38_param2_4.dat,1721612189,00:03:33.976512,00:00:13.347933
4,deepWalk,2.4,3.5,0.00033419845059369708,0.00021503071739661217,0.00045336618379078204,128,200,0,diameter,exp4_network_seed39_param2_4.dat,1721612189,00:03:31.163845,00:00:12.423780
4,deepWalk,2.1,3,0.00062473437846279729,0.00039110812461837105,0.00085836063230722358,128,200,0,diameter,exp4_network_seed3_param2_1.dat,1721612189,00:03:35.736494,00:00:11.598489
4,deepWalk,2.5,3.5,0.00034217838759864497,0.00020329668001723046,0.00048106009518005942,128,200,0,diameter,exp4_network_seed40_param2_5.dat,1721612189,00:03:32.961981,00:00:12.702835
4,deepWalk,2.5,3.75,0.00033765070829891431,0.00021605232164510698,0.00045924909495272158,128,200,0,diameter,exp4_network_seed41_param2_5.dat,1721612189,00:03:31.986997,00:00:11.347513
4,deepWalk,2.5,4,0.00036064578391555594,0.00021260479598620712,0.00050868677184490478,128,200,0,diameter,exp4_network_seed42_param2_5.dat,1721612189,00:03:32.405965,00:00:12.726043
4,deepWalk,2.5,3.25,0.000429879833239393,0.00031314268825768281,0.00054661697822110317,128,200,0,diameter,exp4_network_seed43_param2_5.dat,1721612189,00:03:33.411425,00:00:11.694317
4,deepWalk,2.5,3.25,0.00041464743895325924,0.00029531241455121112,0.00053398246335530737,128,200,0,diameter,exp4_network_seed44_param2_5.dat,1721612189,00:03:33.687686,00:00:11.996259
4,deepWalk,2.5,3.5,0.000336488540170122,0.00023004865243830618,0.00044292842790193783,128,200,0,diameter,exp4_network_seed45_param2_5.dat,1721612189,00:03:35.223014,00:00:11.595187
4,deepWalk,2.5,3.75,0.00035159769423705959,0.000202491974265195,0.00050070341420892423,128,200,0,diameter,exp4_network_seed46_param2_5.dat,1721612189,00:03:31.644464,00:00:11.884363
4,deepWalk,2.5,3.5,0.00034117831586722065,0.00018738504049117431,0.000494971591243267,128,200,0,diameter,exp4_network_seed47_param2_5.dat,1721612189,00:03:35.445184,00:00:12.039932
